#List of considered 24,479 proteomes considered for NetFlax

GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655
GCF_000006175.1	Methanococcus voltae A3
GCF_000006625.1	Ureaplasma parvum serovar 3 str. ATCC 700970
GCF_000006725.1	Xylella fastidiosa 9a5c
GCF_000006745.1	Vibrio cholerae O1 biovar El Tor str. N16961
GCF_000006765.1	Pseudomonas aeruginosa PAO1
GCF_000006785.2	Streptococcus pyogenes M1 GAS
GCF_000006805.1	Halobacterium salinarum NRC-1
GCF_000006825.1	Pasteurella multocida subsp. multocida str. Pm70
GCF_000006845.1	Neisseria gonorrhoeae FA 1090
GCF_000006865.1	Lactococcus lactis subsp. lactis Il1403
GCF_000006885.1	Streptococcus pneumoniae TIGR4
GCF_000006925.2	Shigella flexneri 2a str. 301
GCF_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
GCF_000006965.1	Sinorhizobium meliloti 1021
GCF_000006985.1	Chlorobaculum tepidum TLS
GCF_000007005.1	Saccharolobus solfataricus P2
GCF_000007025.1	Rickettsia conorii str. Malish 7
GCF_000007065.1	Methanosarcina mazei Go1
GCF_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4
GCF_000007125.1	Brucella melitensis bv. 1 str. 16M
GCF_000007145.1	Xanthomonas campestris pv. campestris str. ATCC 33913
GCF_000007185.1	Methanopyrus kandleri AV19
GCF_000007225.1	Pyrobaculum aerophilum str. IM2
GCF_000007265.1	Streptococcus agalactiae 2603V/R
GCF_000007305.1	Pyrococcus furiosus DSM 3638
GCF_000007345.1	Methanosarcina acetivorans C2A
GCF_000007485.1	Tropheryma whipplei str. Twist
GCF_000007565.2	Pseudomonas putida KT2440
GCF_000007585.1	Porphyromonas gingivalis W83
GCF_000007605.1	Chlamydia caviae GPIC
GCF_000007625.1	Clostridium tetani E88
GCF_000007645.1	Staphylococcus epidermidis ATCC 12228
GCF_000007705.1	Chromobacterium violaceum ATCC 12472
GCF_000007745.1	[Mannheimia] succiniciproducens MBEL55E
GCF_000007765.2	Coxiella burnetii RSA 493
GCF_000007785.1	Enterococcus faecalis V583
GCF_000007825.1	Bacillus cereus ATCC 14579
GCF_000007845.1	Bacillus anthracis str. Ames
GCF_000007865.1	Mycobacterium avium subsp. paratuberculosis K-10
GCF_000007905.1	Helicobacter hepaticus ATCC 51449
GCF_000007945.1	[Haemophilus] ducreyi 35000HP
GCF_000008185.1	Treponema denticola ATCC 35405
GCF_000008265.1	Picrophilus torridus DSM 9790
GCF_000008325.1	Methylococcus capsulatus str. Bath
GCF_000008345.1	Cutibacterium acnes KPA171202
GCF_000008365.1	Mycoplasma mobile 163K
GCF_000008425.1	Bacillus licheniformis DSM 13 = ATCC 14580
GCF_000008465.1	Idiomarina loihiensis L2TR
GCF_000008485.1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
GCF_000008525.1	Helicobacter pylori 26695
GCF_000008545.1	Thermotoga maritima MSB8
GCF_000008565.1	Deinococcus radiodurans R1
GCF_000008625.1	Aquifex aeolicus VF5
GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H
GCF_000008665.1	Archaeoglobus fulgidus DSM 4304
GCF_000008685.2	Borreliella burgdorferi B31
GCF_000008725.1	Chlamydia trachomatis D/UW-3/CX
GCF_000008745.1	Chlamydia pneumoniae CWL029
GCF_000008765.1	Clostridium acetobutylicum ATCC 824
GCF_000008805.1	Neisseria meningitidis MC58
GCF_000008985.1	Francisella tularensis subsp. tularensis SCHU S4
GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168
GCF_000009065.1	Yersinia pestis CO92
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
GCF_000009125.1	Ralstonia solanacearum GMI1000
GCF_000009145.1	Nitrosomonas europaea ATCC 19718
GCF_000009205.2	Clostridioides difficile 630
GCF_000009265.1	Rhizobium leguminosarum bv. viciae 3841
GCF_000009345.1	Yersinia enterocolitica subsp. enterocolitica 8081
GCF_000009365.1	Alcanivorax borkumensis SK2
GCF_000009605.1	Buchnera aphidicola str. APS (Acyrthosiphon pisum)
GCF_000009625.1	Mesorhizobium japonicum MAFF 303099
GCF_000009645.1	Staphylococcus aureus subsp. aureus N315
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893
GCF_000009785.1	Geobacillus kaustophilus HTA426
GCF_000009865.1	Staphylococcus haemolyticus JCSC1435
GCF_000009905.1	Symbiobacterium thermophilum IAM 14863
GCF_000009945.1	Chlamydia felis Fe/C-56
GCF_000009965.1	Thermococcus kodakarensis KOD1
GCF_000009985.1	Magnetospirillum magneticum AMB-1
GCF_000010045.1	Desulfitobacterium hafniense Y51
GCF_000010085.1	Sodalis glossinidius str. 'morsitans'
GCF_000010165.1	Brevibacillus brevis NBRC 100599
GCF_000010185.1	Finegoldia magna ATCC 29328
GCF_000010205.1	Orientia tsutsugamushi str. Ikeda
GCF_000010285.1	Kocuria rhizophila DC2201
GCF_000010305.1	Gemmatimonas aurantiaca T-27
GCF_000010405.1	Candidatus Vesicomyosocius okutanii
GCF_000010525.1	Azorhizobium caulinodans ORS 571
GCF_000010585.1	Macrococcus caseolyticus JCSC5402
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350
GCF_000010625.1	Microcystis aeruginosa NIES-843
GCF_000010665.1	Desulfovibrio magneticus RS-1
GCF_000010825.1	Acetobacter pasteurianus IFO 3283-01
GCF_000010985.1	Deferribacter desulfuricans SSM1
GCF_000011005.1	Methanocella paludicola SANAE
GCF_000011045.1	Lactobacillus rhamnosus GG
GCF_000011065.1	Bacteroides thetaiotaomicron VPI-5482
GCF_000011085.1	Haloarcula marismortui ATCC 43049
GCF_000011105.1	Pyrococcus horikoshii OT3
GCF_000011125.1	Aeropyrum pernix K1
GCF_000011145.1	Bacillus halodurans C-125
GCF_000011185.1	Thermoplasma volcanium GSS1
GCF_000011205.1	Sulfurisphaera tokodaii str. 7
GCF_000011225.1	Mycoplasma penetrans HF-2
GCF_000011245.1	Oceanobacillus iheyensis HTE831
GCF_000011305.1	Corynebacterium efficiens YS-314
GCF_000011325.1	Corynebacterium glutamicum ATCC 13032
GCF_000011345.1	Thermosynechococcus elongatus BP-1
GCF_000011385.1	Gloeobacter violaceus PCC 7421
GCF_000011485.1	Prochlorococcus marinus str. MIT 9313
GCF_000011565.2	Candidatus Protochlamydia amoebophila UWE25
GCF_000011585.1	Methanococcus maripaludis S2
GCF_000011745.1	Candidatus Blochmannia pennsylvanicus str. BPEN
GCF_000011805.1	Aliivibrio fischeri ES114
GCF_000011905.1	Dehalococcoides mccartyi 195
GCF_000011965.2	Ruegeria pomeroyi DSS-3
GCF_000011985.1	Lactobacillus acidophilus NCFM
GCF_000012005.1	Shigella dysenteriae Sd197
GCF_000012085.2	Borrelia turicatae 91E135
GCF_000012145.1	Rickettsia felis URRWXCal2
GCF_000012225.1	Aster yellows witches'-broom phytoplasma AYWB
GCF_000012245.1	Pseudomonas syringae pv. syringae B728a
GCF_000012285.1	Sulfolobus acidocaldarius DSM 639
GCF_000012305.1	Psychrobacter arcticus 273-4
GCF_000012325.1	Colwellia psychrerythraea 34H
GCF_000012405.1	Thermobifida fusca YX
GCF_000012425.1	Dechloromonas aromatica RCB
GCF_000012485.1	Pelodictyon luteolum DSM 273
GCF_000012525.1	Synechococcus elongatus PCC 7942 = FACHB-805
GCF_000012545.1	Methanosphaera stadtmanae DSM 3091
GCF_000012585.1	Chlorobium chlorochromatii CaD3
GCF_000012605.1	Hydrogenovibrio crunogenus XCL-2
GCF_000012665.1	Desulfovibrio alaskensis G20
GCF_000012685.1	Myxococcus xanthus DK 1622
GCF_000012725.1	Nitrobacter winogradskyi Nb-255
GCF_000012745.1	Thiobacillus denitrificans ATCC 25259
GCF_000012805.1	Nitrosococcus oceani ATCC 19707
GCF_000012845.1	Parabacteroides distasonis ATCC 8503
GCF_000012865.1	Carboxydothermus hydrogenoformans Z-2901
GCF_000012885.1	Pelobacter carbinolicus DSM 2380
GCF_000012925.1	Geobacter metallireducens GS-15
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251
GCF_000012985.1	Hahella chejuensis KCTC 2396
GCF_000013005.1	Erythrobacter litoralis HTCC2594
GCF_000013025.1	Hyphomonas neptunium ATCC 15444
GCF_000013085.1	Rhodospirillum rubrum ATCC 11170
GCF_000013105.1	Moorella thermoacetica ATCC 39073
GCF_000013125.1	Anaplasma phagocytophilum str. HZ
GCF_000013145.1	Ehrlichia chaffeensis str. Arkansas
GCF_000013165.1	Neorickettsia sennetsu str. Miyayama
