   Homodimer      pDockQ
WP_152878174.1   0.703901
WP_107864200.1   0.270554
WP_099686064.1   0.409831
WP_090558408.1   0.189155
WP_077993240.1   0.204079
WP_016857969.1   0.572237
WP_185162150.1   0.526830
WP_018022803.1   0.243982
WP_087148009.1   0.159085
WP_045215642.1   0.565696
WP_027127283.1   0.365531
YP_009301393.1   0.072596
WP_017263061.1   0.634524
WP_157750404.1   0.038154
WP_000491711.1   0.658313
WP_015281565.1   0.533031
WP_013835461.1   0.049345
WP_164450688.1   0.144773
WP_006441954.1   0.216922
